回访ID,老人ID,社区食堂,评分,回访日期,意见内容
S000401,E0157,西城长者食堂,3,2026-02-04,味道一般
S000402,E0009,东城温馨食堂,3,2026-04-07,味道一般
S000403,E0102,西城长者食堂,4,2025-12-23,基本满意
S000404,E0054,丰台惠民食堂,3,2025-12-09,
S000405,E0288,石景山爱心食堂,3,2025-12-17,味道一般
S000406,E0263,丰台惠民食堂,2,2026-03-01,送餐太慢，经常凉了
S000407,E0046,东城温馨食堂,2,2025-12-04,送餐太慢，经常凉了
S000408,E0044,丰台惠民食堂,2,2026-05-15,
S000409,E0159,海淀康乐食堂,2,2025-12-31,
S000410,E0086,西城长者食堂,2,2025-12-10,
S000411,E0060,丰台惠民食堂,4,2026-03-14,基本满意
S000412,E0140,东城温馨食堂,3,2026-03-16,味道一般
S000413,E0101,石景山爱心食堂,2,2026-03-30,
S000414,E0017,朝阳幸福食堂,3,2026-01-08,
S000415,E0038,东城温馨食堂,3,2026-03-16,
S000416,E0171,东城温馨食堂,4,2026-06-02,基本满意
S000417,E0264,石景山爱心食堂,4,2026-02-17,基本满意
S000418,E0004,丰台惠民食堂,4,2026-02-17,
S000419,E0163,丰台惠民食堂,4,2025-12-22,
S000420,E0078,海淀康乐食堂,2,2026-01-03,送餐太慢，经常凉了
S000421,E0156,朝阳幸福食堂,4,2026-04-15,
S000422,E0033,丰台惠民食堂,3,2026-04-14,味道一般
S000423,E0294,朝阳幸福食堂,3,2026-05-16,味道一般
S000424,E0088,朝阳幸福食堂,1,2026-05-03,饭菜质量差，不卫生
S000425,E0236,朝阳幸福食堂,4,2026-05-03,基本满意
S000426,E0078,海淀康乐食堂,1,2026-05-19,
S000427,E0053,朝阳幸福食堂,4,2026-04-29,基本满意
S000428,E0211,石景山爱心食堂,4,2026-05-03,基本满意
S000429,E0253,海淀康乐食堂,3,2026-05-28,味道一般
S000430,E0233,海淀康乐食堂,3,2026-03-17,味道一般
S000431,E0031,东城温馨食堂,3,2026-05-30,味道一般
S000432,E0180,朝阳幸福食堂,2,2026-05-11,送餐太慢，经常凉了
S000433,E0266,西城长者食堂,3,2026-04-26,味道一般
S000434,E0036,东城温馨食堂,2,2026-03-30,送餐太慢，经常凉了
S000435,E0235,西城长者食堂,3,2025-12-14,
S000436,E0167,海淀康乐食堂,3,2026-02-17,味道一般
S000437,E0048,东城温馨食堂,4,2026-01-27,
S000438,E0206,朝阳幸福食堂,3,2026-01-09,
S000439,E0013,丰台惠民食堂,5,2026-03-16,
S000440,E0179,朝阳幸福食堂,3,2026-01-01,味道一般
S000441,E0202,朝阳幸福食堂,3,2026-01-01,
S000442,E0030,朝阳幸福食堂,4,2026-03-25,基本满意
S000443,E0113,海淀康乐食堂,3,2026-03-11,
S000444,E0112,石景山爱心食堂,3,2026-01-07,味道一般
S000445,E0279,海淀康乐食堂,3,2026-04-27,味道一般
S000446,E0006,西城长者食堂,3,2025-12-24,
S000447,E0256,西城长者食堂,4,2026-05-10,基本满意
S000448,E0020,石景山爱心食堂,4,2026-01-04,
S000449,E0028,西城长者食堂,3,2025-12-14,味道一般
S000450,E0077,朝阳幸福食堂,4,2025-12-19,
S000451,E0240,石景山爱心食堂,4,2025-12-24,
S000452,E0057,海淀康乐食堂,3,2025-12-06,味道一般
S000453,E0215,丰台惠民食堂,3,2025-12-11,
S000454,E0083,丰台惠民食堂,3,2026-02-12,味道一般
S000455,E0073,石景山爱心食堂,3,2026-03-19,
S000456,E0170,海淀康乐食堂,3,2026-01-03,味道一般
S000457,E0106,石景山爱心食堂,4,2025-12-07,
S000458,E0291,石景山爱心食堂,2,2026-01-19,送餐太慢，经常凉了
S000459,E0154,石景山爱心食堂,2,2026-05-04,送餐太慢，经常凉了
S000460,E0238,石景山爱心食堂,2,2025-12-08,送餐太慢，经常凉了
S000461,E0185,丰台惠民食堂,5,2025-12-18,很好，感谢政府
S000462,E0004,丰台惠民食堂,4,2026-02-28,基本满意
S000463,E0117,朝阳幸福食堂,3,2026-04-24,
S000464,E0024,东城温馨食堂,3,2026-01-22,
S000465,E0016,丰台惠民食堂,3,2026-04-21,味道一般
S000466,E0263,丰台惠民食堂,4,2026-03-19,基本满意
S000467,E0060,丰台惠民食堂,3,2026-05-11,味道一般
S000468,E0178,朝阳幸福食堂,3,2026-02-03,
S000469,E0093,丰台惠民食堂,3,2025-12-18,味道一般
S000470,E0044,丰台惠民食堂,3,2025-12-24,
S000471,E0168,海淀康乐食堂,4,2026-04-29,
S000472,E0165,东城温馨食堂,5,2025-12-18,
S000473,E0278,石景山爱心食堂,4,2025-12-13,
S000474,E0116,丰台惠民食堂,3,2026-02-13,
S000475,E0176,西城长者食堂,4,2025-12-27,
S000476,E0065,海淀康乐食堂,3,2025-12-30,
S000477,E0135,丰台惠民食堂,3,2025-12-02,
S000478,E0063,西城长者食堂,2,2026-01-31,
S000479,E0239,朝阳幸福食堂,3,2025-12-28,味道一般
S000480,E0112,石景山爱心食堂,3,2026-01-30,味道一般
S000481,E0045,西城长者食堂,4,2026-05-19,
S000482,E0281,海淀康乐食堂,5,2026-03-24,
S000483,E0111,东城温馨食堂,3,2025-12-22,味道一般
S000484,E0295,丰台惠民食堂,4,2025-12-07,基本满意
S000485,E0237,丰台惠民食堂,3,2026-02-02,味道一般
S000486,E0287,朝阳幸福食堂,3,2025-12-11,
S000487,E0197,石景山爱心食堂,3,2025-12-13,味道一般
S000488,E0041,西城长者食堂,4,2026-02-08,
S000489,E0232,丰台惠民食堂,4,2026-02-20,基本满意
S000490,E0168,海淀康乐食堂,4,2026-02-16,
S000491,E0268,朝阳幸福食堂,4,2026-05-11,基本满意
S000492,E0053,朝阳幸福食堂,3,2025-12-05,
S000493,E0010,海淀康乐食堂,5,2025-12-16,很好，感谢政府
S000494,E0201,丰台惠民食堂,3,2026-01-21,
S000495,E0112,石景山爱心食堂,1,2026-04-01,饭菜质量差，不卫生
S000496,E0261,石景山爱心食堂,2,2025-12-17,
S000497,E0199,西城长者食堂,4,2026-02-13,
S000498,E0198,海淀康乐食堂,1,2026-03-25,饭菜质量差，不卫生
S000499,E0187,石景山爱心食堂,3,2026-03-26,味道一般
S000500,E0116,丰台惠民食堂,3,2026-03-26,味道一般
S000501,E0048,东城温馨食堂,2,2025-12-29,送餐太慢，经常凉了
S000502,E0232,丰台惠民食堂,2,2026-05-16,
S000503,E0082,丰台惠民食堂,5,2025-12-24,
S000504,E0028,西城长者食堂,4,2026-03-02,
S000505,E0102,西城长者食堂,3,2026-05-01,味道一般
S000506,E0229,丰台惠民食堂,5,2026-02-15,
S000507,E0163,丰台惠民食堂,2,2026-04-22,
S000508,E0230,丰台惠民食堂,4,2026-02-25,
S000509,E0120,丰台惠民食堂,2,2025-12-18,送餐太慢，经常凉了
S000510,E0003,海淀康乐食堂,3,2026-05-30,
S000511,E0263,丰台惠民食堂,1,2026-05-14,饭菜质量差，不卫生
S000512,E0104,海淀康乐食堂,5,2026-05-06,很好，感谢政府
S000513,E0246,石景山爱心食堂,1,2026-04-06,
S000514,E0249,海淀康乐食堂,3,2026-05-08,味道一般
S000515,E0088,朝阳幸福食堂,4,2026-04-08,基本满意
S000516,E0246,石景山爱心食堂,3,2026-01-06,味道一般
S000517,E0026,石景山爱心食堂,1,2026-05-06,饭菜质量差，不卫生
S000518,E0209,海淀康乐食堂,4,2026-04-27,
S000519,E0040,东城温馨食堂,3,2026-05-01,味道一般
S000520,E0021,朝阳幸福食堂,4,2026-01-05,
S000521,E0143,西城长者食堂,3,2025-12-22,味道一般
S000522,E0146,朝阳幸福食堂,3,2026-01-08,味道一般
S000523,E0004,丰台惠民食堂,3,2026-02-26,
S000524,E0133,丰台惠民食堂,2,2026-05-07,
S000525,E0107,西城长者食堂,3,2026-02-18,
S000526,E0165,东城温馨食堂,4,2025-12-23,
S000527,E0041,西城长者食堂,3,2026-05-21,味道一般
S000528,E0286,东城温馨食堂,4,2026-04-24,
S000529,E0084,丰台惠民食堂,3,2026-03-11,味道一般
S000530,E0124,东城温馨食堂,3,2025-12-27,
S000531,E0288,石景山爱心食堂,1,2026-04-12,
S000532,E0099,丰台惠民食堂,1,2026-04-23,
S000533,E0060,丰台惠民食堂,4,2026-01-24,
S000534,E0190,石景山爱心食堂,2,2026-01-24,
S000535,E0172,东城温馨食堂,2,2026-01-20,送餐太慢，经常凉了
S000536,E0076,海淀康乐食堂,4,2025-12-22,基本满意
S000537,E0055,丰台惠民食堂,1,2026-04-14,
S000538,E0129,丰台惠民食堂,4,2025-12-12,基本满意
S000539,E0232,丰台惠民食堂,1,2026-05-15,饭菜质量差，不卫生
S000540,E0156,朝阳幸福食堂,4,2026-05-13,基本满意
S000541,E0172,东城温馨食堂,3,2025-12-26,味道一般
S000542,E0030,朝阳幸福食堂,4,2026-04-10,
S000543,E0137,石景山爱心食堂,4,2026-03-24,
S000544,E0058,石景山爱心食堂,4,2025-12-31,基本满意
S000545,E0296,丰台惠民食堂,4,2025-12-19,
S000546,E0013,丰台惠民食堂,4,2025-12-21,基本满意
S000547,E0130,石景山爱心食堂,4,2026-01-17,
S000548,E0025,朝阳幸福食堂,4,2025-12-12,
S000549,E0188,西城长者食堂,4,2026-05-18,
S000550,E0112,石景山爱心食堂,2,2026-04-23,送餐太慢，经常凉了
S000551,E0168,海淀康乐食堂,3,2026-05-23,味道一般
S000552,E0009,东城温馨食堂,3,2026-02-16,
S000553,E0197,石景山爱心食堂,3,2025-12-09,味道一般
S000554,E0295,丰台惠民食堂,2,2026-03-16,送餐太慢，经常凉了
S000555,E0011,朝阳幸福食堂,4,2026-03-14,基本满意
S000556,E0124,东城温馨食堂,4,2026-04-22,
S000557,E0276,东城温馨食堂,3,2026-03-14,
S000558,E0089,石景山爱心食堂,3,2025-12-22,
S000559,E0197,石景山爱心食堂,4,2025-12-09,
S000560,E0088,朝阳幸福食堂,2,2026-01-29,
S000561,E0245,东城温馨食堂,3,2026-01-23,味道一般
S000562,E0205,海淀康乐食堂,3,2026-01-01,味道一般
S000563,E0050,丰台惠民食堂,3,2026-03-19,味道一般
S000564,E0004,丰台惠民食堂,2,2026-03-05,送餐太慢，经常凉了
S000565,E0140,东城温馨食堂,4,2026-02-04,基本满意
S000566,E0281,海淀康乐食堂,3,2025-12-28,
S000567,E0268,朝阳幸福食堂,3,2026-03-03,
S000568,E0003,海淀康乐食堂,3,2026-02-14,
S000569,E0156,朝阳幸福食堂,3,2026-01-02,味道一般
S000570,E0202,朝阳幸福食堂,3,2026-05-27,
S000571,E0178,朝阳幸福食堂,3,2026-01-03,
S000572,E0112,石景山爱心食堂,5,2025-12-10,
S000573,E0102,西城长者食堂,5,2026-04-09,
S000574,E0160,石景山爱心食堂,3,2026-01-29,
S000575,E0145,东城温馨食堂,3,2026-03-09,
S000576,E0238,石景山爱心食堂,2,2025-12-08,
S000577,E0106,石景山爱心食堂,3,2026-03-23,
S000578,E0079,西城长者食堂,2,2025-12-06,送餐太慢，经常凉了
S000579,E0118,朝阳幸福食堂,2,2025-12-22,送餐太慢，经常凉了
S000580,E0020,石景山爱心食堂,3,2026-01-17,味道一般
S000581,E0279,海淀康乐食堂,3,2026-06-02,
S000582,E0089,石景山爱心食堂,3,2026-03-29,味道一般
S000583,E0266,西城长者食堂,2,2026-02-14,送餐太慢，经常凉了
S000584,E0111,东城温馨食堂,3,2026-03-06,味道一般
S000585,E0069,海淀康乐食堂,3,2026-02-11,味道一般
S000586,E0011,朝阳幸福食堂,4,2026-03-06,基本满意
S000587,E0062,丰台惠民食堂,2,2026-03-19,
S000588,E0069,海淀康乐食堂,4,2026-04-20,
S000589,E0288,石景山爱心食堂,5,2026-01-23,
S000590,E0089,石景山爱心食堂,2,2026-01-04,送餐太慢，经常凉了
S000591,E0030,朝阳幸福食堂,3,2026-05-16,味道一般
S000592,E0276,东城温馨食堂,2,2026-02-27,送餐太慢，经常凉了
S000593,E0166,东城温馨食堂,4,2025-12-11,基本满意
S000594,E0089,石景山爱心食堂,4,2025-12-25,基本满意
S000595,E0205,海淀康乐食堂,4,2026-04-18,基本满意
S000596,E0259,东城温馨食堂,3,2025-12-15,
S000597,E0054,丰台惠民食堂,5,2026-03-10,很好，感谢政府
S000598,E0240,石景山爱心食堂,4,2025-12-25,基本满意
S000599,E0241,朝阳幸福食堂,4,2026-04-11,
S000600,E0035,西城长者食堂,3,2026-02-14,
S000601,E0181,丰台惠民食堂,3,2026-04-27,味道一般
S000602,E0032,东城温馨食堂,3,2026-05-11,
S000603,E0008,西城长者食堂,4,2025-12-10,基本满意
S000604,E0283,西城长者食堂,4,2026-02-13,基本满意
S000605,E0106,石景山爱心食堂,2,2026-04-07,送餐太慢，经常凉了
S000606,E0074,石景山爱心食堂,4,2025-12-07,基本满意
S000607,E0090,东城温馨食堂,3,2026-01-24,味道一般
S000608,E0115,东城温馨食堂,5,2026-03-05,
S000609,E0100,东城温馨食堂,3,2026-02-24,
S000610,E0149,朝阳幸福食堂,3,2026-01-02,味道一般
S000611,E0006,西城长者食堂,3,2025-12-15,味道一般
S000612,E0246,石景山爱心食堂,3,2026-05-14,
S000613,E0031,东城温馨食堂,2,2025-12-22,送餐太慢，经常凉了
S000614,E0245,东城温馨食堂,1,2026-03-05,饭菜质量差，不卫生
S000615,E0102,西城长者食堂,3,2026-02-21,味道一般
S000616,E0259,东城温馨食堂,4,2026-01-27,基本满意
S000617,E0138,丰台惠民食堂,4,2026-03-20,基本满意
S000618,E0028,西城长者食堂,2,2026-06-02,
S000619,E0121,东城温馨食堂,2,2026-01-11,送餐太慢，经常凉了
S000620,E0111,东城温馨食堂,3,2026-04-06,
S000621,E0230,丰台惠民食堂,3,2026-01-11,味道一般
S000622,E0040,东城温馨食堂,3,2026-03-28,
S000623,E0073,石景山爱心食堂,3,2026-01-21,味道一般
S000624,E0062,丰台惠民食堂,1,2026-05-14,饭菜质量差，不卫生
S000625,E0201,丰台惠民食堂,3,2026-03-16,味道一般
S000626,E0201,丰台惠民食堂,2,2025-12-15,
S000627,E0162,东城温馨食堂,4,2026-01-30,
S000628,E0180,朝阳幸福食堂,3,2026-01-22,味道一般
S000629,E0003,海淀康乐食堂,3,2026-01-08,
S000630,E0209,海淀康乐食堂,4,2026-04-13,
S000631,E0062,丰台惠民食堂,1,2026-04-14,
S000632,E0013,丰台惠民食堂,3,2025-12-19,
S000633,E0035,西城长者食堂,5,2026-05-04,很好，感谢政府
S000634,E0177,石景山爱心食堂,4,2026-02-27,
S000635,E0005,朝阳幸福食堂,4,2026-03-24,
S000636,E0146,朝阳幸福食堂,3,2026-02-08,味道一般
S000637,E0266,西城长者食堂,2,2026-02-08,
S000638,E0274,西城长者食堂,3,2025-12-20,味道一般
S000639,E0260,朝阳幸福食堂,3,2026-05-25,味道一般
S000640,E0189,丰台惠民食堂,2,2025-12-13,送餐太慢，经常凉了
S000641,E0147,海淀康乐食堂,3,2026-02-03,味道一般
S000642,E0055,丰台惠民食堂,1,2026-05-17,
S000643,E0022,朝阳幸福食堂,4,2025-12-21,基本满意
S000644,E0167,海淀康乐食堂,3,2026-03-08,味道一般
S000645,E0076,海淀康乐食堂,4,2025-12-12,
S000646,E0028,西城长者食堂,4,2026-05-17,
S000647,E0257,西城长者食堂,2,2026-05-30,送餐太慢，经常凉了
S000648,E0283,西城长者食堂,2,2026-05-09,送餐太慢，经常凉了
S000649,E0284,西城长者食堂,3,2026-02-26,味道一般
S000650,E0009,东城温馨食堂,4,2025-12-12,基本满意
S000651,E0160,石景山爱心食堂,3,2026-03-25,
S000652,E0020,石景山爱心食堂,3,2026-05-15,
S000653,E0197,石景山爱心食堂,4,2025-12-19,
S000654,E0038,东城温馨食堂,4,2026-01-21,基本满意
S000655,E0123,朝阳幸福食堂,3,2026-05-30,
S000656,E0032,东城温馨食堂,3,2026-01-16,味道一般
S000657,E0195,海淀康乐食堂,3,2026-02-02,味道一般
S000658,E0076,海淀康乐食堂,4,2026-03-21,
S000659,E0249,海淀康乐食堂,4,2026-03-15,基本满意
S000660,E0262,东城温馨食堂,3,2026-01-27,味道一般
S000661,E0156,朝阳幸福食堂,3,2025-12-04,味道一般
S000662,E0095,东城温馨食堂,4,2026-02-03,
S000663,E0125,朝阳幸福食堂,5,2026-01-29,很好，感谢政府
S000664,E0088,朝阳幸福食堂,2,2026-03-29,送餐太慢，经常凉了
S000665,E0013,丰台惠民食堂,3,2026-03-30,味道一般
S000666,E0176,西城长者食堂,3,2025-12-18,味道一般
S000667,E0109,丰台惠民食堂,2,2025-12-25,
S000668,E0177,石景山爱心食堂,1,2026-04-17,
S000669,E0098,西城长者食堂,4,2026-02-03,基本满意
S000670,E0127,朝阳幸福食堂,4,2026-03-17,
S000671,E0138,丰台惠民食堂,3,2026-04-05,味道一般
S000672,E0231,丰台惠民食堂,1,2026-05-09,饭菜质量差，不卫生
S000673,E0064,西城长者食堂,3,2026-04-07,味道一般
S000674,E0204,朝阳幸福食堂,1,2025-12-30,饭菜质量差，不卫生
S000675,E0165,东城温馨食堂,4,2025-12-29,
S000676,E0261,石景山爱心食堂,2,2026-05-29,送餐太慢，经常凉了
S000677,E0287,朝阳幸福食堂,4,2026-05-21,
S000678,E0080,海淀康乐食堂,3,2026-01-03,
S000679,E0078,海淀康乐食堂,3,2026-05-31,味道一般
S000680,E0162,东城温馨食堂,4,2026-01-25,基本满意
S000681,E0294,朝阳幸福食堂,3,2026-01-07,味道一般
S000682,E0114,东城温馨食堂,3,2025-12-08,味道一般
S000683,E0269,丰台惠民食堂,2,2026-01-17,
S000684,E0127,朝阳幸福食堂,4,2026-01-19,
S000685,E0159,海淀康乐食堂,3,2026-05-13,
S000686,E0070,东城温馨食堂,3,2026-01-13,味道一般
S000687,E0260,朝阳幸福食堂,4,2026-02-08,基本满意
S000688,E0237,丰台惠民食堂,3,2025-12-04,
S000689,E0152,丰台惠民食堂,4,2026-02-12,
S000690,E0175,东城温馨食堂,4,2026-01-24,
S000691,E0096,石景山爱心食堂,4,2026-05-02,基本满意
S000692,E0067,朝阳幸福食堂,4,2025-12-29,基本满意
S000693,E0175,东城温馨食堂,3,2026-03-31,
S000694,E0139,西城长者食堂,4,2026-01-28,基本满意
S000695,E0022,朝阳幸福食堂,3,2026-03-08,味道一般
S000696,E0019,朝阳幸福食堂,4,2026-02-09,
S000697,E0262,东城温馨食堂,3,2026-02-19,味道一般
S000698,E0050,丰台惠民食堂,1,2026-04-30,饭菜质量差，不卫生
S000699,E0241,朝阳幸福食堂,4,2026-01-30,基本满意
S000700,E0029,西城长者食堂,3,2026-03-21,
S000701,E0095,东城温馨食堂,3,2026-01-11,味道一般
S000702,E0275,石景山爱心食堂,3,2026-03-21,
S000703,E0017,朝阳幸福食堂,3,2026-03-04,味道一般
S000704,E0116,丰台惠民食堂,4,2026-01-01,
S000705,E0239,朝阳幸福食堂,3,2025-12-31,
S000706,E0104,海淀康乐食堂,1,2026-02-25,
S000707,E0103,海淀康乐食堂,4,2026-05-17,
S000708,E0111,东城温馨食堂,4,2026-04-23,基本满意
S000709,E0003,海淀康乐食堂,4,2026-05-29,基本满意
S000710,E0133,丰台惠民食堂,2,2026-04-05,
S000711,E0282,石景山爱心食堂,3,2025-12-05,
S000712,E0051,东城温馨食堂,2,2026-02-05,
S000713,E0089,石景山爱心食堂,2,2026-05-19,送餐太慢，经常凉了
S000714,E0254,石景山爱心食堂,4,2026-02-11,基本满意
S000715,E0050,丰台惠民食堂,3,2026-04-24,
S000716,E0195,海淀康乐食堂,3,2026-01-22,味道一般
S000717,E0213,西城长者食堂,2,2026-04-18,送餐太慢，经常凉了
S000718,E0015,朝阳幸福食堂,3,2026-01-14,味道一般
S000719,E0137,石景山爱心食堂,1,2026-05-24,饭菜质量差，不卫生
S000720,E0215,丰台惠民食堂,1,2026-05-10,饭菜质量差，不卫生
S000721,E0274,西城长者食堂,3,2026-04-11,
S000722,E0202,朝阳幸福食堂,5,2026-04-19,
S000723,E0276,东城温馨食堂,3,2026-02-15,
S000724,E0081,海淀康乐食堂,3,2026-05-02,
S000725,E0062,丰台惠民食堂,2,2026-05-15,
S000726,E0139,西城长者食堂,5,2026-04-21,很好，感谢政府
S000727,E0202,朝阳幸福食堂,3,2026-04-06,
S000728,E0003,海淀康乐食堂,2,2026-03-10,
S000729,E0294,朝阳幸福食堂,4,2026-04-16,基本满意
S000730,E0263,丰台惠民食堂,1,2026-04-28,
S000731,E0277,海淀康乐食堂,2,2026-03-10,
S000732,E0154,石景山爱心食堂,1,2026-05-21,饭菜质量差，不卫生
S000733,E0257,西城长者食堂,4,2026-05-16,
S000734,E0283,西城长者食堂,3,2026-05-01,
S000735,E0015,朝阳幸福食堂,4,2026-02-23,基本满意
S000736,E0036,东城温馨食堂,4,2026-03-13,基本满意
S000737,E0292,海淀康乐食堂,3,2025-12-08,
S000738,E0177,石景山爱心食堂,3,2026-01-06,
S000739,E0028,西城长者食堂,3,2026-03-30,味道一般
S000740,E0117,朝阳幸福食堂,3,2026-01-20,
S000741,E0066,东城温馨食堂,3,2026-02-06,
S000742,E0002,东城温馨食堂,4,2026-01-13,基本满意
S000743,E0082,丰台惠民食堂,3,2026-01-06,
S000744,E0061,西城长者食堂,4,2026-01-25,
S000745,E0073,石景山爱心食堂,2,2025-12-08,
S000746,E0136,丰台惠民食堂,3,2026-01-15,味道一般
S000747,E0037,朝阳幸福食堂,3,2026-05-24,
S000748,E0080,海淀康乐食堂,4,2025-12-07,
S000749,E0261,石景山爱心食堂,2,2026-04-17,送餐太慢，经常凉了
S000750,E0004,丰台惠民食堂,2,2026-05-25,
S000751,E0100,东城温馨食堂,3,2026-01-03,味道一般
S000752,E0164,海淀康乐食堂,3,2026-02-22,味道一般
S000753,E0269,丰台惠民食堂,3,2026-03-11,味道一般
S000754,E0037,朝阳幸福食堂,3,2026-04-30,味道一般
S000755,E0025,朝阳幸福食堂,3,2025-12-20,
S000756,E0273,西城长者食堂,2,2026-01-02,送餐太慢，经常凉了
S000757,E0075,丰台惠民食堂,2,2026-05-01,
S000758,E0183,丰台惠民食堂,2,2025-12-14,
S000759,E0193,丰台惠民食堂,3,2026-03-23,
S000760,E0229,丰台惠民食堂,5,2026-03-23,
S000761,E0214,朝阳幸福食堂,3,2026-04-03,
S000762,E0051,东城温馨食堂,3,2026-03-01,
S000763,E0182,东城温馨食堂,3,2026-02-07,
S000764,E0149,朝阳幸福食堂,3,2025-12-29,味道一般
S000765,E0183,丰台惠民食堂,4,2025-12-24,
S000766,E0102,西城长者食堂,4,2026-05-18,基本满意
S000767,E0112,石景山爱心食堂,3,2025-12-07,
S000768,E0205,海淀康乐食堂,4,2025-12-03,基本满意
S000769,E0268,朝阳幸福食堂,3,2026-03-21,
S000770,E0141,丰台惠民食堂,2,2026-04-30,
S000771,E0012,石景山爱心食堂,4,2026-01-31,基本满意
S000772,E0066,东城温馨食堂,4,2026-03-18,
S000773,E0273,西城长者食堂,4,2026-01-22,
S000774,E0059,海淀康乐食堂,4,2025-12-08,
S000775,E0036,东城温馨食堂,3,2026-04-06,
S000776,E0215,丰台惠民食堂,2,2026-03-13,送餐太慢，经常凉了
S000777,E0279,海淀康乐食堂,4,2026-02-27,基本满意
S000778,E0092,朝阳幸福食堂,3,2026-04-07,味道一般
S000779,E0252,海淀康乐食堂,3,2026-02-16,味道一般
S000780,E0100,东城温馨食堂,2,2026-01-16,
S000781,E0218,朝阳幸福食堂,3,2026-01-26,味道一般
S000782,E0251,海淀康乐食堂,4,2025-12-17,基本满意
S000783,E0262,东城温馨食堂,4,2026-01-04,
S000784,E0291,石景山爱心食堂,1,2026-04-16,
S000785,E0130,石景山爱心食堂,3,2026-03-26,味道一般
S000786,E0166,东城温馨食堂,2,2025-12-23,
S000787,E0178,朝阳幸福食堂,4,2026-04-15,
S000788,E0011,朝阳幸福食堂,3,2025-12-19,
S000789,E0293,西城长者食堂,3,2026-04-24,
S000790,E0051,东城温馨食堂,3,2025-12-08,
S000791,E0257,西城长者食堂,4,2026-02-28,基本满意
S000792,E0187,石景山爱心食堂,2,2026-05-19,送餐太慢，经常凉了
S000793,E0043,丰台惠民食堂,4,2025-12-11,基本满意
S000794,E0236,朝阳幸福食堂,3,2026-05-15,
S000795,E0039,石景山爱心食堂,1,2026-05-08,饭菜质量差，不卫生
S000796,E0288,石景山爱心食堂,4,2026-01-28,
S000797,E0201,丰台惠民食堂,4,2026-02-02,
S000798,E0234,海淀康乐食堂,3,2025-12-20,味道一般
S000799,E0180,朝阳幸福食堂,5,2026-04-24,很好，感谢政府
S000800,E0179,朝阳幸福食堂,3,2026-03-15,
